"","track.name","track.album.release_date","track.popularity","track.album.album_type","track.duration_ms","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","Playlist"
"1","Take on Me","1985-06-01",85,"album",225280,0.573,0.902,-7.638,0.054,0.018,0.00125,0.0928,0.876,84.412,"Edy"
"2","Dancin (feat. Luvli) - Krono Remix","2014-11-07",77,"single",198053,0.72,0.741,-6.529,0.0287,0.101,1.41e-05,0.289,0.357,119.896,"Edy"
"3","Dancing Queen","1976",82,"album",230400,0.543,0.87,-6.514,0.0428,0.358,0.000939,0.792,0.754,100.804,"Edy"
"4","Knowing Me, Knowing You","1976",63,"album",241920,0.546,0.733,-7.073,0.0299,0.0399,1.11e-06,0.235,0.91,107.285,"Edy"
"5","Take A Chance On Me","1977",73,"album",243933,0.684,0.675,-8.123,0.0257,0.163,0,0.242,0.924,107.064,"Edy"
"6","Mamma Mia - Spanish Version","1980",40,"compilation",213400,0.719,0.674,-9.066,0.0336,0.366,0,0.279,0.784,137.721,"Edy"
"7","Lay All Your Love On Me","1980",73,"album",274466,0.678,0.727,-7.844,0.0258,0.117,0.00396,0.354,0.71,133.481,"Edy"
"8","Super Trouper","1980",70,"album",252853,0.764,0.626,-8.274,0.0288,0.457,6.35e-06,0.201,0.961,118.34,"Edy"
"9","I Have A Dream","1979",62,"album",285413,0.549,0.374,-12.049,0.0244,0.6,0,0.178,0.439,104.311,"Edy"
"10","The Winner Takes It All","1980",74,"album",294720,0.454,0.788,-6.748,0.0371,0.574,0.000766,0.0859,0.52,126.15,"Edy"
"11","Money, Money, Money","1976",66,"album",186426,0.787,0.704,-6.873,0.0385,0.535,0.00305,0.089,0.646,120.701,"Edy"
"12","SOS","2008-01-01",68,"compilation",201360,0.393,0.719,-4.773,0.0279,0.0629,0.00432,0.219,0.497,124.353,"Edy"
"13","Chiquitita - Spanish Version","1980",57,"compilation",333133,0.549,0.502,-9.11,0.0292,0.514,0,0.222,0.398,84.287,"Edy"
"14","Voulez-Vous","1979",68,"album",309173,0.708,0.774,-6.931,0.0372,0.149,0.00109,0.169,0.903,126.636,"Edy"
"15","Gimme! Gimme! Gimme! (A Man After Midnight)","1979",81,"album",292613,0.749,0.491,-9.655,0.0403,0.02,0.00899,0.159,0.536,119.528,"Edy"
"16","Does Your Mother Know","1979",65,"album",193440,0.728,0.865,-5.68,0.0364,0.151,2.43e-05,0.0906,0.975,135.571,"Edy"
"17","One Of Us","1981",56,"album",237013,0.652,0.397,-15.245,0.0385,0.478,0.000946,0.0679,0.858,82.235,"Edy"
"18","Waterloo - Swedish Version","1974-03-04",24,"album",166066,0.465,0.846,-5.636,0.038,0.791,3.57e-05,0.109,0.801,147.561,"Edy"
"19","Honey Honey - Swedish Version","1974-03-04",21,"album",177613,0.485,0.711,-8.737,0.0537,0.275,7.89e-06,0.6,0.668,138.186,"Edy"
"20","Back In Black","1980-07-25",83,"album",255493,0.31,0.7,-5.678,0.047,0.011,0.00965,0.0828,0.763,188.386,"Edy"
"21","You Shook Me All Night Long","1980-07-25",80,"album",210173,0.532,0.767,-5.509,0.0574,0.00287,0.000513,0.39,0.755,127.361,"Edy"
"22","Rock and Roll Ain't Noise Pollution","1980-07-25",63,"album",266040,0.576,0.659,-5.617,0.0383,0.041,0,0.0587,0.717,94.853,"Edy"
"23","Anything Goes","2008-10-20",44,"album",202160,0.605,0.9,-2.717,0.0291,0.000522,0.0271,0.0466,0.467,120.895,"Edy"
"24","Highway to Hell","1979-07-27",84,"album",208400,0.574,0.913,-4.793,0.133,0.061,0.00158,0.156,0.423,115.728,"Edy"
"25","Thunderstruck","1990-09-24",83,"album",292880,0.502,0.89,-5.175,0.0364,0.000147,0.0117,0.217,0.259,133.52,"Edy"
"26","William Tell: Overture","2021-10-08",19,"compilation",183040,0.319,0.413,-16.003,0.0425,0.954,0.938,0.151,0.579,171.011,"Edy"
"27","Set Fire to the Rain","2011-01-24",78,"album",242973,0.603,0.67,-3.882,0.0249,0.00408,1.68e-06,0.112,0.446,107.993,"Edy"
"28","I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack","1998-06-23",73,"compilation",298760,0.383,0.662,-5.162,0.0333,0.165,0,0.248,0.138,121.154,"Edy"
"29","Cryin'","1993-01-01",71,"album",308333,0.445,0.856,-3.674,0.0327,0.000202,0.0101,0.367,0.486,105.872,"Edy"
"30","Dream On","2002-07-02",31,"compilation",265093,0.412,0.528,-6.613,0.0259,0.298,5.03e-05,0.332,0.175,79.962,"Edy"
"31","Walk This Way","1975-04-08",74,"album",220400,0.653,0.73,-10.613,0.043,0.0114,1.03e-05,0.0754,0.894,108.705,"Edy"
"32","Take Over Control (feat. Eva Simons) - Radio Edit","2010-08-12",55,"single",208620,0.716,0.807,-3.621,0.108,0.222,0,0.0935,0.61,130.004,"Edy"
"33","Smack That","2022-03-04",52,"album",212360,0.929,0.778,-4.202,0.0513,0.185,0,0.297,0.941,118.994,"Edy"
"34","Canta Corazón","2011-08-16",36,"compilation",254000,0.729,0.699,-8.086,0.048,0.427,0,0.0853,0.846,104.053,"Edy"
"35","Se Me Va La Voz","2009-01-01",58,"album",240240,0.605,0.711,-5.797,0.0249,0.254,0,0.341,0.435,90.017,"Edy"
"36","Mátalas","2003",61,"album",177226,0.771,0.392,-6.627,0.0751,0.706,0,0.0575,0.8,117.242,"Edy"
"37","Me Dediqué a Perderte","2011-08-16",38,"compilation",232840,0.65,0.443,-9.066,0.0618,0.479,1.4e-06,0.107,0.518,147.87,"Edy"
"38","Si Tú Supieras","2011-08-16",48,"compilation",246506,0.503,0.523,-8.957,0.0296,0.879,7.63e-06,0.376,0.269,86.942,"Edy"
