"","track.name","track.album.release_date","track.popularity","track.album.album_type","track.duration_ms","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo"
"1","Anti-Hero","2022-10-21",97,"album",200690,0.637,0.643,-6.571,0.0519,0.13,1.8e-06,0.142,0.533,97.008
"2","Unholy (feat. Kim Petras)","2022-09-22",100,"single",156943,0.714,0.472,-7.375,0.0864,0.013,4.51e-06,0.266,0.238,131.121
"3","Rich Flex","2022-11-04",95,"album",239359,0.561,0.52,-9.342,0.244,0.0503,1.86e-06,0.355,0.424,153.15
"4","Made You Look","2022-10-21",91,"album",134256,0.838,0.525,-3.562,0.0665,0.345,1.92e-06,0.0771,0.884,144.981
"5","Miss You","2022-08-05",93,"single",206000,0.587,0.742,-6.64,0.0529,0.0128,0.00107,0.146,0.199,145.007
"6","I'm Good (Blue)","2022-08-26",97,"single",175238,0.561,0.965,-3.673,0.0343,0.00383,7.07e-06,0.371,0.304,128.04
"7","messy in heaven","2022-09-23",77,"single",170437,0.62,0.837,-4.356,0.13,0.128,0.000242,0.242,0.433,172.081
"8","PSYCHO","2022-09-15",80,"single",162666,0.62,0.681,-4.915,0.356,0.0138,0,0.0248,0.741,160.743
"9","All I Want for Christmas Is You","1994-10-28",88,"album",241106,0.336,0.627,-7.463,0.0384,0.164,0,0.0708,0.35,150.273
"10","Hide & Seek","2022-10-14",80,"single",208350,0.807,0.376,-7.768,0.0638,0.379,0.00387,0.114,0.671,104.908
"11","Last Christmas","1984-11-29",84,"single",262960,0.735,0.478,-12.472,0.0293,0.189,2.48e-06,0.355,0.947,107.682
"12","Rocket Science (feat. D-Block Europe)","2022-11-17",68,"single",201023,0.82,0.473,-8.158,0.456,0.165,0,0.0972,0.343,119.957
"13","I Ain't Worried","2022-05-13",95,"single",148485,0.704,0.797,-5.927,0.0475,0.0826,0.000745,0.0546,0.825,139.994
"14","Forget Me","2022-09-09",87,"single",203472,0.669,0.742,-3.518,0.0441,0.296,0,0.355,0.716,101.982
"15","Bad Habit","2022-07-15",88,"album",232066,0.686,0.494,-7.093,0.0355,0.613,5.8e-05,0.402,0.7,168.946
"16","Out Of Nowhere","2022-11-10",69,"single",171000,0.724,0.815,-5.509,0.33,0.134,0,0.181,0.685,130.04
"17","Another Love","2013-06-17",66,"album",244360,0.442,0.538,-8.55,0.0451,0.717,2.95e-05,0.09,0.139,122.758
"18","CUFF IT","2022-07-29",93,"album",225388,0.78,0.689,-5.668,0.141,0.0368,9.69e-06,0.0698,0.642,115.042
"19","Under The Influence","2019-10-04",95,"album",184613,0.733,0.69,-5.529,0.0427,0.0635,1.18e-06,0.105,0.31,116.992
"20","As It Was","2022-05-20",91,"album",167303,0.52,0.731,-5.338,0.0557,0.342,0.00101,0.311,0.662,173.93
"21","Escapism.","2022-10-12",70,"single",272373,0.538,0.742,-5.355,0.114,0.138,4.67e-05,0.0934,0.25,96.107
"22","Lavender Haze","2022-10-21",91,"album",202395,0.733,0.436,-10.489,0.08,0.258,0.000573,0.157,0.0976,96.985
"23","B.O.T.A. (Baddest Of Them All) - Edit","2022-08-12",87,"single",226626,0.736,0.906,-7.589,0.048,0.164,0.585,0.106,0.698,137.001
"24","Sweater Weather","2013-04-19",92,"album",240400,0.612,0.807,-2.81,0.0336,0.0495,0.0177,0.101,0.398,124.053
"25","Lift Me Up","2022-11-11",74,"album",196520,0.247,0.299,-6.083,0.0315,0.899,0,0.131,0.172,177.115
"26","Rockin' Around The Christmas Tree","1964-10-19",85,"album",126266,0.589,0.472,-8.749,0.0502,0.614,0,0.505,0.898,67.196
"27","It's Beginning to Look a Lot like Christmas","2011-10-14",74,"album",206639,0.339,0.214,-11.714,0.0375,0.908,7.47e-06,0.341,0.363,94.775
"28","You're On Your Own, Kid","2022-10-21",89,"album",194206,0.696,0.396,-10.289,0.0656,0.401,5.2e-06,0.125,0.38,120.041
"29","Big City Life","2022-06-16",78,"single",146711,0.615,0.902,-4.316,0.0859,0.0176,3.91e-05,0.103,0.298,87.03
"30","Romantic Homicide","2022-07-20",93,"single",132630,0.571,0.544,-10.613,0.0299,0.453,0.00805,0.322,0.216,132.052
"31","Santa Tell Me","2014-11-24",84,"single",204093,0.525,0.621,-7.364,0.116,0.0489,0,0.294,0.591,191.9
"32","Doja","2022-07-21",89,"single",97392,0.911,0.573,-7.43,0.288,0.38,0,0.403,0.972,140.04
"33","Alone","2022-11-11",73,"album",221746,0.6,0.659,-7.264,0.0542,0.176,0,0.111,0.307,89.955
