"","track.name","track.album.release_date","track.popularity","track.album.album_type","track.duration_ms","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","Playlist"
"1","La Bachata","2022-05-26",97,"single",162637,0.835,0.679,-5.329,0.0364,0.583,1.98e-06,0.218,0.85,124.98,"Mex50"
"2","Gatita","2022-10-05",81,"single",152004,0.895,0.81,-6.722,0.0573,0.151,0.238,0.331,0.762,100.999,"Mex50"
"3","Me Porto Bonito","2022-05-06",95,"album",178567,0.911,0.712,-5.105,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005,"Mex50"
"4","No Se Va - En Vivo","2022-04-28",90,"single",194019,0.594,0.527,-9.335,0.0335,0.121,0,0.234,0.692,172.712,"Mex50"
"5","Quevedo: Bzrp Music Sessions, Vol. 52","2022-07-06",97,"single",198937,0.621,0.782,-5.548,0.044,0.0125,0.033,0.23,0.55,128.033,"Mex50"
"6","Efecto","2022-05-06",94,"album",213061,0.801,0.475,-8.797,0.0516,0.141,1.73e-05,0.0639,0.234,98.047,"Mex50"
"7","Qué Agonía","2022-10-20",77,"album",152923,0.732,0.573,-5.733,0.0237,0.56,9.34e-06,0.0543,0.882,97.502,"Mex50"
"8","Ojitos Lindos","2022-05-06",93,"album",258298,0.647,0.686,-5.745,0.0413,0.08,1.34e-06,0.528,0.268,79.928,"Mex50"
"9","Tití Me Preguntó","2022-05-06",95,"album",243716,0.65,0.715,-5.198,0.253,0.0993,0.000291,0.126,0.187,106.672,"Mex50"
"10","Neverita","2022-05-06",91,"album",173119,0.876,0.498,-7.511,0.0478,0.0706,0,0.143,0.428,122.016,"Mex50"
"11","El Rescate","2022-07-22",86,"single",160897,0.794,0.594,-8.698,0.139,0.283,0.000381,0.109,0.637,99.238,"Mex50"
"12","Siempre Pendientes","2022-08-15",86,"single",186828,0.774,0.748,-7.086,0.0352,0.331,0.0057,0.126,0.714,135.929,"Mex50"
"13","Hey Mor","2022-10-07",90,"album",196600,0.901,0.589,-6.713,0.289,0.00302,0.000237,0.0992,0.399,98.002,"Mex50"
"14","JGL","2022-02-18",85,"single",158093,0.702,0.586,-5.317,0.118,0.55,0,0.27,0.965,112.852,"Mex50"
"15","Monotonía","2022-10-19",92,"single",158804,0.873,0.695,-4.207,0.0459,0.419,1.23e-06,0.211,0.823,131.963,"Mex50"
