track.id,track.name,track.popularity,track.album.album_type,track.duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track.album.release_date,tag
5ueyLj6e6oVaTY0KQ6yLaA,All Shook Up,61,compilation,117080,0.624,0.468,-12.162,0.132,0.881,6.35e-6,0.144,0.952,74.139,1958-03-21,1950s
3aEJMh1cXKEjgh52claxQp,I've Got You Under My Skin - Remastered 1998,68,album,223760,0.585,0.247,-12.612,0.04,0.452,8.85e-6,0.107,0.591,127.15,1956-03,1950s
2vSxjnyrWrtxyfzO47EX6q,Smoke Gets In Your Eyes,64,album,160933,0.203,0.295,-11.155,0.0323,0.92,2.05e-6,0.173,0.285,171.222,1959-01-01,1950s
5yQ9iMZXGcr5rlO4hoLsP4,"What'd I Say, Pt. 1 & 2",61,album,307053,0.54,0.681,-5.44,0.0508,0.808,0,0.162,0.794,88.385,1959,1950s
3HuJDcOWx0gE9Yng2uWY7K,Dream A Little Dream Of Me,66,album,196840,0.461,0.185,-18.087,0.0502,0.604,0,0.121,0.405,95.509,1968-01-01,1950s
50RwvvEKX5Q7AZt8FTAwIF,That'll Be The Day,61,album,150133,0.536,0.637,-7.774,0.0343,0.467,0,0.0838,0.798,115.24,1958-06-01,1950s
01u6AEzGbGbQyYVdxajxqk,Don't Be Cruel,57,compilation,122893,0.697,0.55,-11.496,0.179,0.856,3.44e-5,0.0907,0.844,84.802,1958-03-21,1950s
2QfiRTz5Yc8DdShCxG1tB2,Johnny B. Goode,75,album,161560,0.534,0.803,-9.129,0.0743,0.741,6.07e-5,0.307,0.969,167.983,1959-07-01,1950s
7caj6X6NMX3tlhWnu1du6V,We Belong Together,69,album,116626,0.684,0.247,-13.71,0.0281,0.872,1.66e-4,0.113,0.768,106.522,1959,1950s
64VP3skE86iTvdOlbzuIcO,Great Balls Of Fire,69,album,111535,0.533,0.729,-7.227,0.0714,0.563,0,0.159,0.884,78.67,1961-12-01,1950s
3KzgdYUlqV6TOG7JCmx2Wg,Beyond the Sea,68,album,172480,0.521,0.516,-7.456,0.0369,0.723,0,0.257,0.569,136.483,1959,1950s
4fHDlIntTsRGSyTg5UYZYC,Banana Boat (Day-O),67,album,183133,0.797,0.105,-16.881,0.0969,0.885,1.16e-4,0.108,0.419,122.545,1956,1950s
4gphxUgq0JSFv2BCLhNDiE,Jailhouse Rock,67,compilation,146480,0.647,0.582,-9.538,0.0755,0.41,1.93e-6,0.0715,0.915,167.396,1958-03-21,1950s
648TTtYB0bH0P8Hfy0FmkL,Unforgettable,67,album,191973,0.349,0.182,-13.507,0.031,0.92,0.0152,0.143,0.178,136.094,1954-01-01,1950s
33jt3kYWjQzqn3xyYQ5ZEh,Cheek To Cheek,66,album,354533,0.663,0.264,-14.571,0.0914,0.706,0,0.1,0.657,122.482,1997-05-20,1950s
